ID,Severity,Priority,Module / Surface,File Name,Repo Path (file:line),Category,Finding (title),Reason (detail),Impact,Risk,Recommendation,Fix / Remediation,Owner,Status,Target Sprint,Regression test needed?,Notes
SPINR-001,Critical,P0,Backend · Auth & Identity,_base.py,backend/repositories/_base.py:228,Correctness / Bug,"Circuit-breaker half-open probe leaks permanently on deadline abort, wedging every DB call in 503","When the circuit breaker releases its single half-open probe and that probe request aborts via the client-deadline path (wait_for timeout or the in-loop deadline pre-check), neither record_success() nor record_failure() is called, so _probe_in_flight stays True forever and should_allow() returns False for every future call — the entire API returns 503 on all DB operations until the process restarts.","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.","Wrap the probe accounting in a try/finally: on any exit from run_sync after should_allow() returned True in half-open (or open→half_open) state without a definitive success, call _breaker.record_failure() (returns state to open with a fresh","Wrap the probe accounting in a try/finally: on any exit from run_sync after should_allow() returned True in half-open (or open→half_open) state without a definitive success, call _breaker.record_failure() (returns state to open with a fresh OPEN_DURATION). Simplest: add a `_breaker.release_probe()` that clears _probe_in_flight, and call it from the deadline-timeout / deadline-exhausted / ValueError early-exit paths.",,Open,,,
SPINR-002,Critical,P0,Backend · Core / Infra,users.py,backend/routes/users.py:67,Financial,Unverified email accepted at profile creation is trusted as a corporate-billing identity,"POST /users/profile stores any email the caller types with only a uniqueness check (no ownership verification), and that email is later trusted by /corporate/join-domain as 'proof of employment', letting an attacker join a company's corporate account and bill rides to it.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.","Require email ownership verification (send a code/link, e.g.","Require email ownership verification (send a code/link, e.g. reuse the existing hash_otp email-OTP machinery) before persisting users.email, or at minimum store an email_verified flag and make /corporate/join-domain and /auth/verify-email-otp only trust verified emails.",,Open,,,
SPINR-003,Critical,P0,Backend · Drivers,payouts.py,backend/routes/drivers/payouts.py:590,Financial,Standard payout: TOCTOU balance race and no compensation if DB insert fails after Stripe transfer,"Two concurrent /payouts requests can both pass the balance check and double-withdraw the same earnings, and a payouts-row insert failure after a successful Stripe Transfer leaves the transfer unrecorded so the balance never decreases and can be withdrawn again.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.","Reserve the amount atomically first (insert the payouts row status='pending' before the transfer, or use a DB-side claim like corporate_wallet_apply_delta), transfer second, and reverse the transfer if the terminal write fails, as the insta","Reserve the amount atomically first (insert the payouts row status='pending' before the transfer, or use a DB-side claim like corporate_wallet_apply_delta), transfer second, and reverse the transfer if the terminal write fails, as the instant path does.",,Open,,,
SPINR-004,Critical,P0,Backend · Drivers,ride_cancel.py,backend/routes/drivers/ride_cancel.py:79,Security,Any driver can cancel any other user's pre-trip ride (no ownership check),"cancel_ride never verifies the ride belongs to the calling driver, so any authenticated driver can cancel any ride in a pre-trip state by ride_id.","Someone could read or change data they should not, or bypass a control.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.","Reject with 403/404 when ride['driver_id'] != driver['id'] (allow only the assigned driver), and include driver_id in the atomic cancel filter.","Reject with 403/404 when ride['driver_id'] != driver['id'] (allow only the assigned driver), and include driver_id in the atomic cancel filter.",,Open,,,
SPINR-005,Critical,P0,Backend · Drivers,ride_reads.py,backend/routes/drivers/ride_reads.py:149,Security,"Active-ride rider object leaks password_hash, fcm_token and other users-row secrets to the driver app","get_active_ride returns the full rider users row minus only phone/email/stripe_customer_id, exposing password_hash, FCM push tokens, session/auth state and any other column to any driver on a ride.","Someone could read or change data they should not, or bypass a control.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.",Switch to an allowlist projection (e.g.,"Switch to an allowlist projection (e.g. first_name, photo_url, rating, id) instead of a three-field blocklist.",,Open,,,
SPINR-006,Critical,P0,Backend · Rides (booking),cancellation.py,backend/routes/rides/cancellation.py:268,Financial,Booking-time card pre-auth hold is never released on cancellation; fee charge overwrites the hold's PI reference,"When a card ride is cancelled (rider cancel or 5-min no-driver auto-cancel), the manual-capture hold of grand_total + RIDE_AUTH_BUFFER_CAD placed at booking is never cancelled, and if a cancellation fee was card-charged, the ride row's payment_intent_id is overwritten with the fee PI, destroying the only stored reference to the hold.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.","In cancel_ride_rider and ride_search_timeout, before overwriting any payment fields, read the ride's payment_intent_id/auth_status and call cancel_authorization(ride_id, payment_intent_id) when auth_status is 'authorized'/'fare_only', then ","In cancel_ride_rider and ride_search_timeout, before overwriting any payment fields, read the ride's payment_intent_id/auth_status and call cancel_authorization(ride_id, payment_intent_id) when auth_status is 'authorized'/'fare_only', then set auth_status='released'. Store the cancellation-fee PI in a separate column (e.g. cancel_fee_payment_intent_id) instead of overwriting payment_intent_id. Add a reconciliation sweep for cancelled rides with auth_status still open.",,Open,,,
SPINR-007,Critical,P0,Backend · Rides (booking),stops.py,backend/routes/rides/stops.py:70,Financial,"Mid-trip stop add/remove never recomputes grand_total, taxes, or the fare snapshot — the amount actually billed never changes","Adding or removing a stop updates total_fare/estimated_fare/distance_fare/time_fare on the ride but leaves grand_total, tax_amount, area fees, driver_earnings, admin_earnings, and fare_breakdown_snapshot untouched, and settlement charges grand_total — so the rider is billed the pre-edit amount while the driver is shown (and earns via the earnings snapshot) the post-edit fare.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.","In _reestimate_fare_for_stops (or the stops endpoints), recompute area fees and taxes via calculate_all_fees on the new total_fare, write updated tax_amount/tax_breakdown/grand_total and driver_earnings/admin_earnings, and refresh fare_brea","In _reestimate_fare_for_stops (or the stops endpoints), recompute area fees and taxes via calculate_all_fees on the new total_fare, write updated tax_amount/tax_breakdown/grand_total and driver_earnings/admin_earnings, and refresh fare_breakdown_snapshot (or mark it invalidated) in the same update.",,Open,,,
SPINR-008,Critical,P0,Backend · Rides (rating/receipts/safety),rating.py,backend/routes/rides/rating.py:64,Financial,"/rate credits unbounded, uncharged tips into driver_earnings on every call","POST /rides/{id}/rate accumulates tip_amount into ride.tip_amount and driver_earnings on every call, with no server-side dedupe, no idempotency decorator, no payment-status check, and no upper bound on the tip — the tip is never charged to the rider by this endpoint.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.",In rate_driver: (1) reject the request (or ignore the tip) if ride.rider_rating is already set or ride.tip_amount > 0 (mirror ERR_TIP_DUPLICATE);,"In rate_driver: (1) reject the request (or ignore the tip) if ride.rider_rating is already set or ride.tip_amount > 0 (mirror ERR_TIP_DUPLICATE); (2) add le=500 to RideRatingRequest.tip_amount in schemas.py; (3) only record the tip when payment_status is still pending/failed (i.e. it will be collected by process-payment), otherwise return a structured error directing the client to the charged tip flow; (4) add @idempotent_endpoint(scope=""ride_rate"").",,Open,,,
SPINR-009,Critical,P0,Backend · Safety & Privacy,safety.py,backend/routes/safety.py:24,Correctness / Bug,Safety-team notification dead in production: notify_safety_team missing from fallback import branch,"The except-ImportError branch (the one that actually runs in production) never imports notify_safety_team, so every POST /safety/report raises NameError at the notify call and the safety team is never alerted via WS/email/CRITICAL log.","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.",Add `from features import notify_safety_team` to the except branch (and add a regression test that imports routes.safety in top-level mode and asserts notify_safety_team is bound).,Add `from features import notify_safety_team` to the except branch (and add a regression test that imports routes.safety in top-level mode and asserts notify_safety_team is bound).,,Open,,,
SPINR-010,Critical,P0,Backend · Wallet & Corporate,payment_service.py,backend/services/payment_service.py:419,Financial,Allowance-covered ride settlement CREDITS the corporate master wallet instead of debiting it,"settle_corporate uses corporate_allowance_service.apply_rollback for the allowance-covered fare portion, and the RPC maps 'allowance_rollback' to a POSITIVE master delta, so every allowance-covered corporate ride adds the fare to the company's wallet balance instead of charging it.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.","Introduce a proper 'ride_debit' path: call corporate_wallet_apply_delta with type='ride_debit', delta=-allowance_debit, ride_id set, plus a member-scoped used+=allowance_debit update in one RPC (extend migration 29 with a 'ride_debit' branc","Introduce a proper 'ride_debit' path: call corporate_wallet_apply_delta with type='ride_debit', delta=-allowance_debit, ride_id set, plus a member-scoped used+=allowance_debit update in one RPC (extend migration 29 with a 'ride_debit' branch: master -p_amount, used +p_amount). Reserve 'allowance_rollback' for genuine grant undo. Backfill/audit existing corporate wallet balances.",,Open,,,
