epic,feature,story_id,story,scenario,code_unit,path,test,evidence,status,finding_ids,maturity,gap
Ride Booking & Matching,Address/pickup validation,S-book-08,"As a rider, I can save/select addresses and favorites for pickup/dropoff",happy,GET ,backend/routes/addresses.py:23,backend/tests/rls/test_saved_addresses_rls.py,INFERRED,mapped,-,-,-
Ride Booking & Matching,Address/pickup validation,S-book-08,"As a rider, I can save/select addresses and favorites for pickup/dropoff",happy,POST ,backend/routes/addresses.py:29,backend/tests/rls/test_saved_addresses_rls.py,INFERRED,mapped,-,-,-
Ride Booking & Matching,Address/pickup validation,S-book-08,"As a rider, I can save/select addresses and favorites for pickup/dropoff",happy,DELETE /{address_id},backend/routes/addresses.py:54,backend/tests/rls/test_saved_addresses_rls.py,INFERRED,mapped,-,-,-
AI Assistant,AI admin console/guardrails,S-ai-02,"As an admin, I monitor/configure the AI assistant with PII scrubbing",happy,GET /config,backend/routes/ai.py:144,backend/tests/test_ai_console_super_admin_mount.py,INFERRED,mapped,-,-,-
AI Assistant,AI admin console/guardrails,S-ai-02,"As an admin, I monitor/configure the AI assistant with PII scrubbing",happy,POST /chat,backend/routes/ai.py:162,backend/tests/test_ai_console_super_admin_mount.py,INFERRED,mapped,-,-,-
AI Assistant,AI admin console/guardrails,S-ai-02,"As an admin, I monitor/configure the AI assistant with PII scrubbing",happy,POST /public-chat,backend/routes/ai.py:208,backend/tests/test_ai_console_super_admin_mount.py,INFERRED,mapped,-,-,-
AI Assistant,AI admin console/guardrails,S-ai-02,"As an admin, I monitor/configure the AI assistant with PII scrubbing",happy,GET /conversations,backend/routes/ai.py:243,backend/tests/test_ai_console_super_admin_mount.py,INFERRED,mapped,-,-,-
AI Assistant,AI admin console/guardrails,S-ai-02,"As an admin, I monitor/configure the AI assistant with PII scrubbing",happy,GET /conversations/{conversation_id}/messages,backend/routes/ai.py:248,backend/tests/test_ai_console_super_admin_mount.py,INFERRED,mapped,-,-,-
AI Assistant,AI admin console/guardrails,S-ai-02,"As an admin, I monitor/configure the AI assistant with PII scrubbing",happy,DELETE /conversations/{conversation_id},backend/routes/ai.py:258,backend/tests/test_ai_console_super_admin_mount.py,INFERRED,mapped,-,-,-
Authentication & Authorization,JWT/session,S-auth-03,"As a user, I hold a short-lived access token + rotating refresh token",happy,POST /send-otp,backend/routes/auth.py:407,backend/tests/test_websocket_auth_ack.py,INFERRED,mapped,DRIFT-005;INFO-005;OBS-002;OBS-006;SAFETY-004,-,-
